iter	Passed	Remaining
399	54176	216705
400	54326	216628
401	54455	216465
402	54604	216386
403	54746	216274
404	54870	216094
405	55002	215944
406	55143	215831
407	55269	215659
408	55399	215503
409	55526	215334
410	55685	215290
411	55829	215188
412	55962	215044
413	56104	214931
414	56255	214855
415	56377	214668
416	56509	214520
417	56648	214395
418	56760	214173
419	56892	214023
420	57033	213909
421	57171	213783
422	57302	213630
423	57433	213481
424	57558	213305
425	57694	213172
426	57822	213009
427	57957	212873
428	58103	212773
429	58248	212673
430	58376	212510
431	58527	212431
432	58651	212255
433	58780	212098
434	58922	211987
435	59037	211776
436	59174	211645
437	59303	211489
438	59425	211305
439	59556	211155
440	59693	211026
441	59826	210883
442	59998	210874
443	60124	210707
444	60245	210520
445	60379	210379
446	60525	210281
447	60651	210113
448	60770	209921
449	60905	209784
450	61036	209636
451	61174	209509
452	61309	209372
453	61446	209241
454	61587	209126
455	61724	208997
456	61861	208865
457	61994	208724
458	62124	208570
459	62264	208449
460	62412	208358
461	62554	208242
462	62665	208026
463	62790	207856
464	62921	207709
465	63038	207512
466	63170	207367
467	63317	207270
468	63432	207069
469	63571	206946
470	63703	206801
471	63836	206656
472	63935	206404
473	64048	206199
474	64184	206067
475	64335	205980
476	64443	205758
477	64576	205619
478	64706	205467
479	64846	205347
480	64971	205179
481	65102	205033
482	65230	204874
483	65370	204754
484	65513	204645
485	65639	204482
486	65766	204320
487	65885	204136
488	66006	203957
489	66145	203836
490	66269	203668
491	66392	203496
492	66533	203378
493	66663	203227
494	66786	203057
495	66924	202932
496	67051	202774
497	67182	202628
498	67306	202458
499	67440	202320
500	67574	202184
501	67723	202090
502	67852	201937
503	67939	201660
504	68085	201560
505	68219	201422
506	68366	201323
507	68487	201149
508	68617	200998
509	68754	200871
510	68891	200743
511	69015	200577
512	69127	200374
513	69256	200223
514	69388	200081
515	69588	200133
516	69717	199982
517	69863	199879
518	69999	199749
519	70130	199602
520	70257	199444
521	70396	199320
522	70529	199182
523	70660	199035
524	70790	198886
525	70915	198725
526	71047	198583
527	71163	198396
528	71298	198261
529	71438	198140
530	71569	197995
531	71712	197883
532	71846	197745
533	71981	197612
534	72102	197440
535	72229	197284
536	72359	197137
537	72489	196987
538	72623	196852
539	72775	196762
540	72929	196681
541	73068	196557
542	73213	196449
543	73351	196323
544	73489	196197
545	73629	196075
546	73746	195892
547	73877	195747
548	74006	195597
549	74140	195462
550	74272	195319
551	74410	195191
552	74530	195019
553	74626	194784
554	74738	194589
555	74852	194400
556	74983	194256
557	75136	194169
558	75277	194051
559	75406	193902
560	75531	193744
561	75671	193622
562	75799	193469
563	75917	193294
564	76035	193115
565	76167	192974
566	76284	192796
567	76413	192647
568	76557	192538
569	76692	192403
570	76827	192269
571	76964	192143
572	77088	191982
573	77214	191826
574	77349	191691
575	77477	191542
576	77624	191436
577	77761	191308
578	77908	191206
579	78044	191075
580	78152	190874
581	78270	190699
582	78395	190543
583	78518	190379
584	78636	190206
585	78771	190073
586	78895	189913
587	79022	189760
588	79177	189676
589	79320	189562
590	79439	189391
591	79560	189225
592	79668	189027
593	79811	188913
594	79949	188788
595	80063	188605
596	80199	188475
597	80324	188319
598	80458	188184
599	80599	188064
600	80728	187919
601	80836	187723
602	80967	187581
603	81107	187461
604	81249	187342
605	81380	187202
606	81521	187084
607	81662	186964
608	81793	186823
609	81921	186673
610	82060	186549
611	82271	186589
612	82416	186478
613	82541	186323
614	82686	186213
615	82816	186067
616	82965	185966
617	83074	185775
618	83206	185635
619	83341	185502
620	83471	185357
621	83606	185224
622	83734	185075
623	83869	184942
624	84001	184804
625	84132	184661
626	84265	184523
627	84401	184393
628	84522	184229
629	84655	184092
630	84797	183974
631	84923	183821
632	85053	183677
633	85180	183527
634	85307	183377
635	85447	183254
636	85569	183094
637	85710	182975
638	85840	182831
639	85962	182670
640	86099	182540
641	86211	182360
642	86354	182243
643	86486	182104
644	86632	181995
645	86781	181892
646	86898	181720
647	87029	181580
648	87132	181380
649	87271	181257
650	87373	181054
651	87514	180934
652	87640	180783
653	87772	180645
654	87921	180541
655	88075	180446
656	88191	180275
657	88341	180172
658	88487	180063
659	88602	179889
660	88731	179745
661	88868	179616
662	88990	179457
663	89120	179314
664	89254	179180
665	89385	179039
666	89512	178891
667	89645	178754
668	89767	178595
669	89891	178441
670	89991	178239
671	90116	178087
672	90211	177876
673	90327	177707
674	90459	177569
675	90598	177444
676	90723	177292
677	90843	177130
678	90972	176988
679	91099	176839
680	91208	176658
681	91355	176548
682	91501	176437
683	91603	176243
684	91737	176109
685	91869	175971
686	91978	175789
687	92113	175658
688	92237	175506
689	92382	175392
690	92503	175234
691	92637	175101
692	92756	174938
693	92903	174830
694	93057	174733
695	93163	174546
696	93289	174399
697	93389	174202
698	93495	174016
699	93631	173886
700	93755	173735
701	93878	173580
702	94014	173452
703	94136	173297
704	94261	173146
705	94385	172995
706	94510	172845
707	94647	172718
708	94775	172573
709	94889	172405
710	95021	172268
711	95151	172128
712	95300	172022
713	95429	171880
714	95558	171738
715	95686	171594
716	95820	171460
717	95946	171314
718	96073	171169
719	96209	171039
720	96354	170924
721	96464	170751
722	96582	170588
723	96692	170413
724	96822	170273
725	97005	170227
726	97136	170089
727	97246	169913
728	97380	169781
729	97509	169639
730	97641	169502
731	97768	169358
732	97913	169244
733	98046	169110
734	98192	168997
735	98308	168834
736	98442	168701
737	98565	168549
738	98685	168392
739	98799	168225
740	98922	168075
741	99046	167924
742	99146	167735
743	99287	167614
744	99413	167468
745	99554	167346
746	99719	167267
747	99860	167146
748	100024	167063
749	100152	166920
750	100268	166757
751	100404	166629
752	100540	166499
753	100661	166345
754	100785	166196
755	100908	166045
756	101043	165914
757	101171	165771
758	101294	165621
759	101397	165437
760	101516	165281
761	101624	165107
762	101751	164962
763	101867	164801
764	101983	164640
765	102102	164483
766	102226	164335
767	102357	164197
768	102493	164069
769	102631	163943
770	102762	163806
771	102930	163728
772	103072	163609
773	103209	163482
774	103371	163392
775	103539	163315
776	103668	163175
777	103787	163017
778	103937	162911
779	104089	162806
780	104232	162688
781	104381	162579
782	104503	162427
783	104632	162287
784	104754	162135
785	104871	161976
786	104997	161832
787	105131	161700
788	105270	161575
789	105406	161444
790	105521	161283
791	105664	161165
792	105796	161029
793	105924	160888
794	106060	160758
795	106195	160627
796	106325	160488
797	106438	160324
798	106555	160167
799	106672	160009
800	106800	159867
801	106908	159695
802	107062	159593
803	107169	159421
804	107306	159292
805	107430	159146
806	107544	158984
807	107669	158839
808	107789	158686
809	107912	158538
810	108035	158389
811	108257	158385
812	108378	158234
813	108517	158109
814	108647	157972
815	108772	157826
816	108892	157673
817	109013	157523
818	109146	157390
819	109293	157275
820	109409	157117
821	109544	156986
822	109675	156850
823	109804	156710
824	109932	156570
825	110063	156434
826	110187	156287
827	110327	156163
828	110460	156030
829	110583	155882
830	110711	155742
831	110833	155593
832	110954	155443
833	111063	155276
834	111195	155140
835	111343	155028
836	111467	154882
837	111576	154716
838	111708	154580
839	111816	154412
840	111946	154275
841	112091	154158
842	112213	154010
843	112354	153888
844	112486	153753
845	112626	153630
846	112769	153510
847	112945	153436
848	113091	153319
849	113222	153182
850	113379	153082
851	113520	152959
852	113668	152845
853	113813	152728
854	113953	152603
855	114083	152466
856	114201	152313
857	114328	152171
858	114443	152014
859	114571	151874
860	114698	151731
861	114831	151599
862	114968	151471
863	115091	151324
864	115219	151183
865	115349	151046
866	115482	150913
867	115607	150768
868	115739	150634
869	115855	150478
870	115987	150344
871	116102	150187
872	116241	150062
873	116367	149919
874	116507	149794
875	116630	149649
876	116782	149540
877	116900	149387
878	117023	149241
879	117154	149106
880	117299	148987
881	117431	148852
882	117566	148722
883	117703	148593
884	117854	148482
885	117992	148355
886	118161	148267
887	118295	148135
888	118406	147975
889	118520	147817
890	118654	147685
891	118773	147535
892	118892	147384
893	119012	147234
894	119139	147094
895	119252	146936
896	119392	146811
897	119504	146652
898	119615	146492
899	119744	146354
900	119824	146156
901	119955	146020
902	120084	145883
903	120218	145751
904	120351	145619
905	120475	145475
906	120594	145325
907	120723	145187
908	120841	145036
909	120953	144877
910	121070	144726
911	121185	144572
912	121314	144434
913	121429	144280
914	121571	144158
915	121693	144013
916	121838	143894
917	121964	143753
918	122116	143642
919	122257	143519
920	122383	143378
921	122503	143230
